frame.number	frame.time_relative	ip.src	ip.dst	frame.protocols	frame.len
1	0.000000000			eth:ethertype:ipv6:icmpv6	62
2	0.013027583			eth:ethertype:ipv6:icmpv6	166
3	0.023556416			eth:ethertype:ipv6:udp:mdns	212
4	0.027405791			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	150
5	0.097527500	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
6	0.211423000			eth:ethertype:ipv6:icmpv6	86
7	0.215371125			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	150
8	0.226425458			eth:ethertype:data	118
9	0.273879583			eth:ethertype:ipv6:udp:mdns	212
10	0.362092833			eth:llc:stp	60
11	0.524281792			eth:ethertype:ipv6:udp:mdns	212
12	0.659385667			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	150
13	0.725669208			eth:ethertype:ipv6:udp:mdns	200
14	0.761819542			eth:ethertype:ipv6:icmpv6	86
15	0.896860417			eth:ethertype:ipv6:udp:mdns	126
16	1.226542250			eth:ethertype:data	118
17	1.242156125			eth:ethertype:ipv6:udp:mdns	200
18	1.251413083			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	90
19	1.361831542			eth:llc:stp	60
20	1.469494417			eth:ethertype:ipv6:udp:mdns	212
21	1.619395333			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	90
22	1.720021333			eth:ethertype:ipv6:udp:mdns	212
23	1.970285542			eth:ethertype:ipv6:udp:mdns	292
24	2.170814542			eth:ethertype:ipv6:udp:mdns	200
25	2.226461042			eth:ethertype:data	118
26	2.258661583			eth:ethertype:ipv6:udp:mdns	212
27	2.361818500			eth:llc:stp	60
28	2.508933208			eth:ethertype:ipv6:udp:mdns	212
29	2.588611250	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
30	2.632047167	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
31	2.709674292			eth:ethertype:ipv6:udp:mdns	228
32	2.897811834			eth:ethertype:ipv6:udp:mdns	126
33	3.099254375	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
34	3.226462834			eth:ethertype:data	118
35	3.289815000	192.168.1.91	239.255.255.250	eth:ethertype:ip:udp:ssdp	215
36	3.348266209			eth:ethertype:ipv6:udp:mdns	228
37	3.361855792			eth:llc:stp	60
38	3.886814959			eth:ethertype:ipv6:udp:mdns	228
39	4.195967542			eth:ethertype:ipv6:icmpv6	86
40	4.201291334			eth:ethertype:ipv6:icmpv6	86
41	4.201410125			eth:ethertype:ipv6:udp:dns	96
42	4.201425042			eth:ethertype:ipv6:udp:dns	96
43	4.226517500			eth:ethertype:data	118
44	4.245717459			eth:ethertype:ipv6:udp:dns	128
45	4.245724042			eth:ethertype:ipv6:udp:dns	157
46	4.292196792	192.168.1.91	239.255.255.250	eth:ethertype:ip:udp:ssdp	215
47	4.361995253			eth:llc:stp	60
48	4.622897882			eth:ethertype:ipv6:udp:dns	97
49	4.665413450			eth:ethertype:ipv6:udp:dns	113
50	4.667394815			eth:ethertype:arp	42
51	4.672022624			eth:ethertype:arp	60
52	4.672095832	192.168.1.78	216.115.69.144	eth:ethertype:ip:udp:sip	483
53	4.791304372	216.115.69.144	192.168.1.78	eth:ethertype:ip:udp:sip	458
54	4.794835103	192.168.1.78	216.115.69.144	eth:ethertype:ip:udp:sip	749
55	4.915378303	216.115.69.144	192.168.1.78	eth:ethertype:ip:udp:sip	439
56	5.226528959			eth:ethertype:data	118
57	5.292615695			eth:ethertype:ipv6:udp:dns	101
58	5.292714112			eth:ethertype:ipv6:udp:dns	101
59	5.295123974	192.168.1.91	239.255.255.250	eth:ethertype:ip:udp:ssdp	215
60	5.338799994			eth:ethertype:ipv6:udp:dns	156
61	5.361908248			eth:llc:stp	60
62	5.438332555			eth:ethertype:ipv6:udp:dns	165
63	5.526787756			eth:ethertype:ipv6:udp:mdns	228
64	5.588948930	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
65	5.598772670			eth:ethertype:ipv6:udp:dns	96
66	5.598911961			eth:ethertype:ipv6:udp:dns	96
67	5.632850491	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
68	5.639242499			eth:ethertype:ipv6:udp:dns	128
69	5.640872615			eth:ethertype:ipv6:udp:dns	157
70	5.844393379			eth:ethertype:ipv6:udp:dns	96
71	5.844496670			eth:ethertype:ipv6:udp:dns	96
72	5.887364695			eth:ethertype:ipv6:udp:dns	157
73	5.887379445			eth:ethertype:ipv6:udp:dns	128
74	6.064830470			eth:ethertype:ipv6:udp:mdns	228
75	6.101265779	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
76	6.226573120			eth:ethertype:data	118
77	6.290913490			eth:ethertype:ipv6:udp:dns	101
78	6.291046698			eth:ethertype:ipv6:udp:dns	101
79	6.307180863	192.168.1.91	239.255.255.250	eth:ethertype:ip:udp:ssdp	215
80	6.331143487			eth:ethertype:ipv6:udp:dns	156
81	6.332770937			eth:ethertype:ipv6:udp:dns	165
82	6.361970117			eth:llc:stp	60
83	6.848171145			eth:ethertype:ipv6:udp:dns	96
84	6.848278936			eth:ethertype:ipv6:udp:dns	96
85	6.887503980			eth:ethertype:ipv6:udp:dns	128
86	6.889895342			eth:ethertype:ipv6:udp:dns	157
87	6.897886175			eth:ethertype:ipv6:udp:mdns	126
88	7.226577656			eth:ethertype:data	118
89	7.291036276			eth:ethertype:ipv6:udp:dns	101
90	7.291144734			eth:ethertype:ipv6:udp:dns	101
91	7.358289506			eth:ethertype:ipv6:udp:dns	165
92	7.361957570			eth:llc:stp	60
93	7.447362413			eth:ethertype:ipv6:udp:dns	213
94	7.448214075			eth:ethertype:ipv6:udp:ntp	110
95	7.540722672			eth:ethertype:ipv6:udp:ntp	110
96	8.226554984			eth:ethertype:data	118
97	8.309351174			eth:ethertype:ipv6:udp:ntp	110
98	8.309529256			eth:ethertype:ipv6:udp:ntp	110
99	8.309913171			eth:ethertype:ipv6:udp:dns	101
100	8.310002462			eth:ethertype:ipv6:udp:dns	101
101	8.351907534			eth:ethertype:ipv6:udp:dns	156
102	8.361959231			eth:llc:stp	60
103	8.370008897			eth:ethertype:ipv6:udp:dns	165
104	8.403671512			eth:ethertype:ipv6:udp:ntp	110
105	8.590008324	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
106	8.633869927	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
107	9.103416251	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
108	9.202651521			eth:ethertype:ipv6:icmpv6	86
109	9.202782395			eth:ethertype:ipv6:icmpv6	78
110	9.226631395			eth:ethertype:data	118
111	9.290670475			eth:ethertype:ipv6:udp:ntp	110
112	9.290965390			eth:ethertype:ipv6:udp:dns	94
113	9.291056390			eth:ethertype:ipv6:udp:dns	94
114	9.336096528			eth:ethertype:ipv6:udp:dns	158
115	9.336102569			eth:ethertype:ipv6:udp:dns	150
116	9.336849107			eth:ethertype:ipv6:udp:ntp	110
117	9.355389593			eth:ethertype:ipv6:udp:ntp	110
118	9.361972309			eth:llc:stp	60
119	9.464831226			eth:ethertype:ipv6:udp:ntp	110
120	9.790482765			eth:ethertype:arp	60
121	9.790548181			eth:ethertype:arp	42
122	10.226644847			eth:ethertype:data	118
123	10.307469131			eth:ethertype:ipv6:udp:ntp	110
124	10.307618422			eth:ethertype:ipv6:udp:ntp	110
125	10.307799421			eth:ethertype:ipv6:udp:ntp	110
126	10.360201146			eth:ethertype:ipv6:udp:ntp	110
127	10.362014928			eth:llc:stp	60
128	10.427405334			eth:ethertype:ipv6:udp:ntp	110
129	10.441135804			eth:ethertype:ipv6:udp:ntp	110
130	11.226637092			eth:ethertype:data	118
131	11.362016047			eth:llc:stp	60
132	11.590956011	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
133	11.635021654	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
134	12.105093517	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
135	12.226705294			eth:ethertype:data	118
136	12.308443948			eth:ethertype:ipv6:udp:ntp	110
137	12.325866398			eth:ethertype:ipv6:udp:ntp	110
138	12.362114124			eth:llc:stp	60
139	12.370110207			eth:ethertype:ipv6:udp:ntp	110
140	12.415621426			eth:ethertype:ipv6:udp:ntp	110
141	12.563375983			eth:ethertype:ipv6:icmpv6	86
